"Province","ProgramGroup","ProgramType","ProgramDetail","Date","Value"
"Nova Scotia","Economic","Worker Program","Skilled Trade",2015-01-01,0
"Nova Scotia","Economic","Worker Program","Skilled Worker",2015-01-01,35
"Nova Scotia","Economic","Business","Self-Employed",2015-01-01,0
"Nova Scotia","Economic","Business","Start-up Business",2015-01-01,0
"Nova Scotia","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,45
"Nova Scotia","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,25
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-01-01,0
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,10
"New Brunswick","Economic","Worker Program","Atlantic Immigration Pilot Programs",2015-01-01,0
"New Brunswick","Economic","Worker Program","Canadian Experience",2015-01-01,5
"New Brunswick","Economic","Worker Program","Caregiver",2015-01-01,0
"New Brunswick","Economic","Worker Program","Skilled Trade",2015-01-01,0
"New Brunswick","Economic","Worker Program","Skilled Worker",2015-01-01,10
"New Brunswick","Economic","Business","Self-Employed",2015-01-01,0
"New Brunswick","Economic","Business","Start-up Business",2015-01-01,0
"New Brunswick","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,75
"New Brunswick","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,15
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-01-01,10
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,0
"Quebec","Economic","Worker Program","Canadian Experience",2015-01-01,0
"Quebec","Economic","Worker Program","Caregiver",2015-01-01,20
"Quebec","Economic","Worker Program","Skilled Worker",2015-01-01,875
"Quebec","Economic","Business","Entrepreneur",2015-01-01,5
"Quebec","Economic","Business","Investor",2015-01-01,385
"Quebec","Economic","Business","Self-Employed",2015-01-01,0
"Quebec","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,0
"Quebec","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,45
"Quebec","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"Quebec","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,35
"Quebec","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,485
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-01-01,65
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,30
"Ontario","Economic","Worker Program","Agri-Food Pilot",2015-01-01,0
"Ontario","Economic","Worker Program","Canadian Experience",2015-01-01,675
"Ontario","Economic","Worker Program","Caregiver",2015-01-01,825
"Ontario","Economic","Worker Program","Rural and Northern Immigration",2015-01-01,0
"Ontario","Economic","Worker Program","Skilled Trade",2015-01-01,0
"Ontario","Economic","Worker Program","Skilled Worker",2015-01-01,NA
"Ontario","Economic","Business","Entrepreneur",2015-01-01,10
"Ontario","Economic","Business","Investor",2015-01-01,15
"Ontario","Economic","Business","Self-Employed",2015-01-01,10
"Ontario","Economic","Business","Start-up Business",2015-01-01,0
"Ontario","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,35
"Ontario","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"Ontario","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,115
"Ontario","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,10
"Ontario","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,450
"Ontario","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,NA
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-01-01,100
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,60
"Manitoba","Economic","Worker Program","Agri-Food Pilot",2015-01-01,0
"Manitoba","Economic","Worker Program","Canadian Experience",2015-01-01,5
"Manitoba","Economic","Worker Program","Caregiver",2015-01-01,10
"Manitoba","Economic","Worker Program","Rural and Northern Immigration",2015-01-01,0
"Manitoba","Economic","Worker Program","Skilled Trade",2015-01-01,0
"Manitoba","Economic","Worker Program","Skilled Worker",2015-01-01,30
"Manitoba","Economic","Business","Entrepreneur",2015-01-01,0
"Manitoba","Economic","Business","Self-Employed",2015-01-01,0
"Manitoba","Economic","Business","Start-up Business",2015-01-01,0
"Manitoba","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,450
"Manitoba","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,5
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,15
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,115
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-01-01,20
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,65
"Saskatchewan","Economic","Worker Program","Agri-Food Pilot",2015-01-01,0
"Saskatchewan","Economic","Worker Program","Canadian Experience",2015-01-01,20
"Saskatchewan","Economic","Worker Program","Caregiver",2015-01-01,10
"Saskatchewan","Economic","Worker Program","Rural and Northern Immigration",2015-01-01,0
"Saskatchewan","Economic","Worker Program","Skilled Trade",2015-01-01,0
"Saskatchewan","Economic","Worker Program","Skilled Worker",2015-01-01,55
"Saskatchewan","Economic","Business","Self-Employed",2015-01-01,0
"Saskatchewan","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,380
"Saskatchewan","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,0
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,15
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,75
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-01-01,35
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,0
"Alberta","Economic","Worker Program","Agri-Food Pilot",2015-01-01,0
"Alberta","Economic","Worker Program","Canadian Experience",2015-01-01,230
"Alberta","Economic","Worker Program","Caregiver",2015-01-01,205
"Alberta","Economic","Worker Program","Rural and Northern Immigration",2015-01-01,0
"Alberta","Economic","Worker Program","Skilled Trade",2015-01-01,0
"Alberta","Economic","Worker Program","Skilled Worker",2015-01-01,340
"Alberta","Economic","Business","Entrepreneur",2015-01-01,0
"Alberta","Economic","Business","Investor",2015-01-01,0
"Alberta","Economic","Business","Self-Employed",2015-01-01,0
"Alberta","Economic","Business","Start-up Business",2015-01-01,0
"Alberta","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,370
"Alberta","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"Alberta","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,20
"Alberta","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,5
"Alberta","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,135
"Alberta","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,460
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-01-01,10
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,25
"British Columbia","Economic","Worker Program","Agri-Food Pilot",2015-01-01,0
"British Columbia","Economic","Worker Program","Canadian Experience",2015-01-01,175
"British Columbia","Economic","Worker Program","Caregiver",2015-01-01,270
"British Columbia","Economic","Worker Program","Rural and Northern Immigration",2015-01-01,0
"British Columbia","Economic","Worker Program","Skilled Trade",2015-01-01,0
"British Columbia","Economic","Worker Program","Skilled Worker",2015-01-01,335
"British Columbia","Economic","Business","Entrepreneur",2015-01-01,0
"British Columbia","Economic","Business","Investor",2015-01-01,20
"British Columbia","Economic","Business","Self-Employed",2015-01-01,15
"British Columbia","Economic","Business","Start-up Business",2015-01-01,0
"British Columbia","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,205
"British Columbia","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,20
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,200
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,525
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-01-01,70
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,10
"Yukon","Economic","Worker Program","Canadian Experience",2015-01-01,0
"Yukon","Economic","Worker Program","Caregiver",2015-01-01,0
"Yukon","Economic","Worker Program","Skilled Trade",2015-01-01,0
"Yukon","Economic","Worker Program","Skilled Worker",2015-01-01,0
"Yukon","Economic","Business","Self-Employed",2015-01-01,0
"Yukon","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,15
"Yukon","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,0
"Yukon","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"Yukon","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,0
"Northwest Territories","Economic","Worker Program","Canadian Experience",2015-01-01,0
"Northwest Territories","Economic","Worker Program","Caregiver",2015-01-01,0
"Northwest Territories","Economic","Worker Program","Skilled Trade",2015-01-01,0
"Northwest Territories","Economic","Worker Program","Skilled Worker",2015-01-01,0
"Northwest Territories","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-01-01,5
"Northwest Territories","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,0
"Northwest Territories","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-01-01,0
"Northwest Territories","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,0
"Nunavut","Economic","Worker Program","Canadian Experience",2015-01-01,0
"Nunavut","Economic","Worker Program","Caregiver",2015-01-01,0
"Nunavut","Economic","Worker Program","Skilled Trade",2015-01-01,0
"Nunavut","Economic","Worker Program","Skilled Worker",2015-01-01,0
"Nunavut","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-01-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Children",2015-01-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-01-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-01-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-01-01,0
"Nunavut","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-01-01,0
"Newfoundland and Labrador","Economic","Worker Program","Atlantic Immigration Pilot Programs",2015-02-01,0
"Newfoundland and Labrador","Economic","Worker Program","Canadian Experience",2015-02-01,0
"Newfoundland and Labrador","Economic","Worker Program","Caregiver",2015-02-01,0
"Newfoundland and Labrador","Economic","Worker Program","Skilled Trade",2015-02-01,0
"Newfoundland and Labrador","Economic","Worker Program","Skilled Worker",2015-02-01,15
"Newfoundland and Labrador","Economic","Business","Self-Employed",2015-02-01,0
"Newfoundland and Labrador","Economic","Business","Start-up Business",2015-02-01,0
"Newfoundland and Labrador","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-02-01,35
"Newfoundland and Labrador","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-02-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Children",2015-02-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-02-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-02-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-02-01,10
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-02-01,0
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-02-01,15
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-02-01,0
"Prince Edward Island","Economic","Worker Program","Agri-Food Pilot",2015-02-01,0
"Prince Edward Island","Economic","Worker Program","Atlantic Immigration Pilot Programs",2015-02-01,0
"Prince Edward Island","Economic","Worker Program","Canadian Experience",2015-02-01,0
"Prince Edward Island","Economic","Worker Program","Caregiver",2015-02-01,0
"Prince Edward Island","Economic","Worker Program","Skilled Trade",2015-02-01,0
"Prince Edward Island","Economic","Worker Program","Skilled Worker",2015-02-01,0
"Prince Edward Island","Economic","Business","Self-Employed",2015-02-01,0
"Prince Edward Island","Economic","Business","Start-up Business",2015-02-01,0
"Prince Edward Island","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-02-01,55
"Prince Edward Island","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-02-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Children",2015-02-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-02-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-02-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-02-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-02-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-02-01,10
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-02-01,0
"Nova Scotia","Economic","Worker Program","Atlantic Immigration Pilot Programs",2015-02-01,0
"Nova Scotia","Economic","Worker Program","Canadian Experience",2015-02-01,10
"Nova Scotia","Economic","Worker Program","Caregiver",2015-02-01,0
"Nova Scotia","Economic","Worker Program","Skilled Trade",2015-02-01,0
"Nova Scotia","Economic","Worker Program","Skilled Worker",2015-02-01,35
"Nova Scotia","Economic","Business","Self-Employed",2015-02-01,0
"Nova Scotia","Economic","Business","Start-up Business",2015-02-01,0
"Nova Scotia","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-02-01,65
"Nova Scotia","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-02-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Children",2015-02-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-02-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-02-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-02-01,30
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-02-01,0
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-02-01,25
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-02-01,0
"New Brunswick","Economic","Worker Program","Atlantic Immigration Pilot Programs",2015-02-01,0
"New Brunswick","Economic","Worker Program","Canadian Experience",2015-02-01,5
"New Brunswick","Economic","Worker Program","Caregiver",2015-02-01,10
"New Brunswick","Economic","Worker Program","Skilled Trade",2015-02-01,0
"New Brunswick","Economic","Worker Program","Skilled Worker",2015-02-01,0
"New Brunswick","Economic","Business","Self-Employed",2015-02-01,0
"New Brunswick","Economic","Business","Start-up Business",2015-02-01,0
"New Brunswick","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-02-01,160
"New Brunswick","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-02-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Children",2015-02-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-02-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-02-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-02-01,15
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-02-01,0
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-02-01,35
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-02-01,0
"Quebec","Economic","Worker Program","Canadian Experience",2015-02-01,0
"Quebec","Economic","Worker Program","Caregiver",2015-02-01,60
"Quebec","Economic","Worker Program","Skilled Worker",2015-02-01,NA
"Quebec","Economic","Business","Entrepreneur",2015-02-01,25
"Quebec","Economic","Business","Investor",2015-02-01,635
"Quebec","Economic","Business","Self-Employed",2015-02-01,0
"Quebec","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-02-01,0
"Quebec","Sponsored Family","Sponsored Family","Sponsored Children",2015-02-01,35
"Quebec","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-02-01,0
"Quebec","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-02-01,55
"Quebec","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-02-01,505
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-02-01,0
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-02-01,20
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-02-01,105
"Ontario","Economic","Worker Program","Agri-Food Pilot",2015-02-01,0
"Ontario","Economic","Worker Program","Canadian Experience",2015-02-01,640
"Ontario","Economic","Worker Program","Caregiver",2015-02-01,NA
"Ontario","Economic","Worker Program","Rural and Northern Immigration",2015-02-01,0
"Ontario","Economic","Worker Program","Skilled Trade",2015-02-01,0
"Ontario","Economic","Worker Program","Skilled Worker",2015-02-01,NA
"Ontario","Economic","Business","Entrepreneur",2015-02-01,5
"Ontario","Economic","Business","Investor",2015-02-01,25
"Ontario","Economic","Business","Self-Employed",2015-02-01,20
"Ontario","Economic","Business","Start-up Business",2015-02-01,0
"Ontario","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-02-01,300
"Ontario","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-02-01,0
"Ontario","Sponsored Family","Sponsored Family","Sponsored Children",2015-02-01,90
"Ontario","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-02-01,5
"Ontario","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-02-01,445
"Ontario","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-02-01,NA
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2015-02-01,0
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2015-02-01,190
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2015-02-01,145
"Manitoba","Economic","Worker Program","Agri-Food Pilot",2015-02-01,0
"Manitoba","Economic","Worker Program","Canadian Experience",2015-02-01,0
"Manitoba","Economic","Worker Program","Caregiver",2015-02-01,15
"Manitoba","Economic","Worker Program","Rural and Northern Immigration",2015-02-01,0
"Manitoba","Economic","Worker Program","Skilled Trade",2015-02-01,0
"Manitoba","Economic","Worker Program","Skilled Worker",2015-02-01,25
"Manitoba","Economic","Business","Entrepreneur",2015-02-01,0
"Manitoba","Economic","Business","Self-Employed",2015-02-01,0
"Manitoba","Economic","Business","Start-up Business",2015-02-01,0
"Manitoba","Economic","Provincial Nominee Program","Provincial Nominee Program",2015-02-01,570
"Manitoba","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2015-02-01,0
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Children",2015-02-01,15
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2015-02-01,0
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2015-02-01,20
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2015-02-01,115
