SERIE	PAYS	COMMODITE
CCCSR3027M0BP	BURKINA FASO	09--Loisirs
CCCSR3028M0BP	BURKINA FASO	10--Enseignement
CCCSR3029M0BP	BURKINA FASO	11--Hotels et restaurants
CCCSR3030M0BP	BURKINA FASO	12--Autres biens et services
CCCSR3017M0BP	BURKINA FASO	13--Ensemble
DDDSR3021M0BP	MALI	01--Alimentation
DDDSR3050M0BP	MALI	02--Boissons alcoolisees, Tabac et stupefiants
DDDSR3022M0BP	MALI	03--Habillement
DDDSR3024M0BP	MALI	04--Ameublement
DDDSR3023M0BP	MALI	05--Logement
DDDSR3025M0BP	MALI	06--Santé
DDDSR3026M0BP	MALI	07--Transport
DDDSR3051M0BP	MALI	08--Communication
DDDSR3027M0BP	MALI	09--Loisirs
DDDSR3028M0BP	MALI	10--Enseignement
DDDSR3029M0BP	MALI	11--Hotels et restaurants
DDDSR3030M0BP	MALI	12--Autres biens et services
DDDSR3017M0BP	MALI	13--Ensemble
HHHSR3021M0BP	NIGER	01--Alimentation
HHHSR3050M0BP	NIGER	02--Boissons alcoolisees, Tabac et stupefiants
HHHSR3022M0BP	NIGER	03--Habillement
HHHSR3024M0BP	NIGER	04--Ameublement
HHHSR3023M0BP	NIGER	05--Logement
HHHSR3025M0BP	NIGER	06--Santé
HHHSR3026M0BP	NIGER	07--Transport
HHHSR3051M0BP	NIGER	08--Communication
HHHSR3027M0BP	NIGER	09--Loisirs
HHHSR3028M0BP	NIGER	10--Enseignement
HHHSR3029M0BP	NIGER	11--Hotels et restaurants
HHHSR3030M0BP	NIGER	12--Autres biens et services
HHHSR3017M0BP	NIGER	13--Ensemble
KKKSR3021M0BP	SENEGAL	01--Alimentation
KKKSR3050M0BP	SENEGAL	02--Boissons alcoolisees, Tabac et stupefiants
KKKSR3022M0BP	SENEGAL	03--Habillement
KKKSR3024M0BP	SENEGAL	04--Ameublement
KKKSR3023M0BP	SENEGAL	05--Logement
KKKSR3025M0BP	SENEGAL	06--Santé
KKKSR3026M0BP	SENEGAL	07--Transport
KKKSR3051M0BP	SENEGAL	08--Communication
KKKSR3027M0BP	SENEGAL	09--Loisirs
KKKSR3028M0BP	SENEGAL	10--Enseignement
KKKSR3029M0BP	SENEGAL	11--Hotels et restaurants
KKKSR3030M0BP	SENEGAL	12--Autres biens et services
KKKSR3017M0BP	SENEGAL	13--Ensemble
SSSSR3021M0BP	GUINEE BISSAU	01--Alimentation
SSSSR3050M0BP	GUINEE BISSAU	02--Boissons alcoolisees, Tabac et stupefiants
SSSSR3022M0BP	GUINEE BISSAU	03--Habillement
SSSSR3024M0BP	GUINEE BISSAU	04--Ameublement
SSSSR3023M0BP	GUINEE BISSAU	05--Logement
SSSSR3025M0BP	GUINEE BISSAU	06--Santé
SSSSR3026M0BP	GUINEE BISSAU	07--Transport
SSSSR3051M0BP	GUINEE BISSAU	08--Communication
SSSSR3027M0BP	GUINEE BISSAU	09--Loisirs
SSSSR3028M0BP	GUINEE BISSAU	10--Enseignement
SSSSR3029M0BP	GUINEE BISSAU	11--Hotels et restaurants
SSSSR3030M0BP	GUINEE BISSAU	12--Autres biens et services
SSSSR3017M0BP	GUINEE BISSAU	13--Ensemble
TTTSR3021M0BP	TOGO	01--Alimentation
TTTSR3050M0BP	TOGO	02--Boissons alcoolisees, Tabac et stupefiants
TTTSR3022M0BP	TOGO	03--Habillement
TTTSR3024M0BP	TOGO	04--Ameublement
TTTSR3023M0BP	TOGO	05--Logement
TTTSR3025M0BP	TOGO	06--Santé
TTTSR3026M0BP	TOGO	07--Transport
TTTSR3051M0BP	TOGO	08--Communication
TTTSR3027M0BP	TOGO	09--Loisirs
TTTSR3028M0BP	TOGO	10--Enseignement
TTTSR3029M0BP	TOGO	11--Hotels et restaurants
TTTSR3030M0BP	TOGO	12--Autres biens et services
TTTSR3017M0BP	TOGO	13--Ensemble
